,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
85,5.0,-0.51065,2254,3748,290,1831,1917,0.114677,0.08951683178913497,-8.391238574779226e-05,0.0026136817363723998,-0.001628,0.00045814415463678397
86,1.0,-0.624921,797,3640,398,1919,1721,0.114596,0.08952207032776477,-0.00011850007977804622,0.0024919425048618143,-0.00142,0.0004611802279222507
87,5.0,0.368528,1751,3483,555,1325,2158,0.114785,0.08974174657067552,-0.00043444685806443006,0.0020951370601650383,-0.00135,0.0004524992425298268
88,4.0,0.780724,1252,3755,283,2233,1522,0.115101,0.09011338626913538,-0.0002333683314246654,0.001959944514795903,-0.001201,0.00045658943812279534
89,2.0,-0.561024,1487,3174,864,1592,1582,0.114977,0.090054355215949,-0.00026668896544872883,0.0022317699580051116,-0.001247,0.00045701447484805736
90,0.0,0.534075,3055,3418,620,1701,1717,0.115354,0.09029655091707674,-0.0003520609524426349,0.001823379477330293,-0.001429,0.0004198678791560544
91,4.0,0.41089,454,3114,924,1281,1833,0.115621,0.0905788016541613,-9.473015594134535e-05,0.0022220997111016415,-0.001287,0.0004285307374416163
92,2.0,0.428074,1355,2804,1234,1179,1625,0.115723,0.09070638451224976,8.671436791286601e-05,0.0019715507424575333,-0.001223,0.00042775466250557603
93,2.0,0.344684,1355,3160,878,1095,2065,0.115791,0.09057142394142643,-0.0003325052773597214,0.0020940860580912876,-0.001169,0.0003907819341074577
94,1.0,0.6983,1281,3713,325,2083,1630,0.115937,0.09068557550468959,0.0002751423723684471,0.002047802599328578,-0.001318,0.000428518292116866
95,5.0,-0.568913,1355,3781,257,1990,1791,0.115874,0.09068402996977101,0.00014817190446429087,0.002006241544552423,-0.001354,0.0004338089581233032
96,4.0,0.540474,596,3658,380,1804,1854,0.116164,0.09094901696440844,0.00040601631800551486,0.0020370129311050493,-0.001206,0.00047154223368656145
97,2.0,-0.320614,2284,3074,964,991,2083,0.116131,0.09083372349229714,0.00020844362574028519,0.0022817150836298788,-0.001229,0.0004733715404456602
98,0.0,0.217357,3055,2320,1718,575,1745,0.116301,0.09089992424594574,0.0006408484946240224,0.002519411083717067,-0.001238,0.00047221518367418215
99,2.0,0.506019,214,33,4005,11,22,0.116303,0.09090641229593706,0.0006566742919637474,0.002519411083717067,-0.001233,0.0004784749014261009
100,5.0,0.399902,2197,3459,579,1435,2024,0.116604,0.09106176784774628,0.00026160822807336773,0.0020275259100054886,-0.001114,0.0004815698735250592
101,0.0,-0.429825,1961,165,3873,63,102,0.116589,0.09104229258440022,0.00028400645516843463,0.0020275259100054886,-0.001114,0.0004707423295785377
